time;device_id;msg_type;position_time;lat;lon
06/08/2024 1:46;229175;seq_msg;;;
06/08/2024 1:46;229175;poll_msg;06/08/2024 1:19;383834742;-26982199
06/08/2024 2:01;229175;poll_msg;06/08/2024 1:19;383834742;-26982199
06/08/2024 2:16;229175;seq_msg;;;
06/08/2024 2:16;229175;poll_msg;06/08/2024 2:10;38383224;-2698296
06/08/2024 2:31;229175;poll_msg;06/08/2024 2:10;38383224;-2698296
06/08/2024 2:46;229175;seq_msg;;;
06/08/2024 2:46;229175;poll_msg;06/08/2024 2:10;38383224;-2698296
06/08/2024 3:01;229175;poll_msg;06/08/2024 2:59;38383238;-26981121
06/08/2024 3:02;229175;poll_msg;06/08/2024 2:59;38383238;-26981121
06/08/2024 3:16;229175;seq_msg;;;
06/08/2024 3:16;229175;poll_msg;06/08/2024 2:59;38383238;-26981121
06/08/2024 3:31;229175;poll_msg;06/08/2024 3:31;383833127;-26982827
06/08/2024 3:46;229175;seq_msg;;;
06/08/2024 3:47;229175;poll_msg;06/08/2024 3:31;383833127;-26982827
06/08/2024 4:16;229175;seq_msg;;;
06/08/2024 4:16;229175;poll_msg;06/08/2024 3:31;383833127;-26982827
06/08/2024 4:31;229175;poll_msg;06/08/2024 4:31;383832458;-26979326
06/08/2024 4:46;229175;seq_msg;;;
06/08/2024 4:47;229175;poll_msg;06/08/2024 4:47;383835562;-26976584
06/08/2024 5:01;229175;poll_msg;06/08/2024 5:01;383834607;-2697797
06/08/2024 5:16;229175;seq_msg;;;
06/08/2024 5:16;229175;poll_msg;06/08/2024 5:16;383832665;-26974296
06/08/2024 5:31;229175;poll_msg;06/08/2024 5:31;383831313;-26973268
06/08/2024 5:46;229175;seq_msg;;;
06/08/2024 5:46;229175;poll_msg;06/08/2024 5:46;383834388;-26978472
06/08/2024 5:47;229175;poll_msg;06/08/2024 5:47;38383476;-26978005
06/08/2024 6:01;229175;poll_msg;06/08/2024 6:01;383834148;-26978938
06/08/2024 6:16;229175;seq_msg;;;
06/08/2024 6:16;229175;poll_msg;06/08/2024 6:16;383835366;-2697802
06/08/2024 6:31;229175;poll_msg;06/08/2024 6:31;383833786;-26974298
06/08/2024 6:46;229175;seq_msg;;;
06/08/2024 6:46;229175;poll_msg;06/08/2024 6:46;383831828;-26976953
06/08/2024 7:01;229175;poll_msg;06/08/2024 7:01;383832756;-26975187
06/08/2024 7:16;229175;seq_msg;;;
06/08/2024 7:16;229175;poll_msg;06/08/2024 7:14;383833882;-26975063
06/08/2024 7:31;229175;poll_msg;06/08/2024 7:31;383833827;-26975406
06/08/2024 7:46;229175;seq_msg;;;
06/08/2024 7:46;229175;poll_msg;06/08/2024 7:42;383833031;-26973523
06/08/2024 8:01;229175;poll_msg;06/08/2024 7:42;383833031;-26973523
06/08/2024 8:16;229175;seq_msg;;;
06/08/2024 8:16;229175;poll_msg;06/08/2024 7:42;383833031;-26973523
06/08/2024 8:31;229175;poll_msg;06/08/2024 8:22;383833006;-26973765
06/08/2024 8:46;229175;seq_msg;;;
